2024-03-18 03:07:28 | GOAL | tasks.pddl | Example 0 | Goal: The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. 
2024-03-18 03:07:28 | INFO | tasks.pddl | Step 00 - Message: Ball1 is a ball.  Ball1 is at rooma.  Ball2 is a ball.  Ball2 is at rooma.  Ball3 is a ball.  Ball3 is at rooma.  Ball4 is a ball.  Ball4 is at rooma.  Left is a gripper.  Left is free.  Right is a gripper.  Right is free.  Robby is at rooma.  Room rooma Room roomb
2024-03-18 11:41:32 | GOAL | tasks.pddl | Example 0 | Goal: The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. 
2024-03-18 11:41:32 | INFO | tasks.pddl | Step 00 - Message: Ball1 is a ball.  Ball1 is at rooma.  Ball2 is a ball.  Ball2 is at rooma.  Ball3 is a ball.  Ball3 is at rooma.  Ball4 is a ball.  Ball4 is at rooma.  Left is a gripper.  Left is free.  Right is a gripper.  Right is free.  Robby is at rooma.  Room rooma Room roomb
2024-03-18 11:41:32 | INFO | tasks.pddl | Reflection tip: None
2024-03-18 11:41:48 | INFO | tasks.pddl | Step 00 - Action: Pick up ball1 at rooma with arm right.
2024-03-18 11:41:48 | INFO | tasks.pddl | Step 00 - Action: Pick up ball1 at rooma with arm right.
2024-03-18 11:41:48 | INFO | tasks.pddl | Step 00 - Observation: Ball1 is a ball.  Ball1 is carrying right.  Ball2 is a ball.  Ball2 is at rooma.  Ball3 is a ball.  Ball3 is at rooma.  Ball4 is a ball.  Ball4 is at rooma.  Left is a gripper.  Left is free.  Right is a gripper.  Robby is at rooma.  Room rooma Room roomb
2024-03-18 11:41:48 | INFO | tasks.pddl | Step 00 - Progress Rate: 0

2024-03-18 11:41:48 | INFO | tasks.pddl | Reflection tip: None
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 01 - Action: Pick up ball2 at rooma with arm left.
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 01 - Action: Pick up ball2 at rooma with arm left.
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 01 - Observation: Ball1 is a ball.  Ball1 is carrying right.  Ball2 is a ball.  Ball2 is carrying left.  Ball3 is a ball.  Ball3 is at rooma.  Ball4 is a ball.  Ball4 is at rooma.  Left is a gripper.  Right is a gripper.  Robby is at rooma.  Room rooma Room roomb
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 01 - Progress Rate: 0

2024-03-18 11:42:04 | GUESS_ACTION | tasks.pddl | Step 02 - Action: Move from rooma to
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 02 - Action: Move from rooma to
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 02 - Observation: The action is not valid and therefore takes no effect. Please check valid actions.
2024-03-18 11:42:04 | INFO | tasks.pddl | Step 02 - Progress Rate: 0

2024-03-18 11:42:04 | INFO | tasks.pddl | Reflection tip: None
2024-03-18 11:42:20 | INFO | tasks.pddl | Step 03 - Action: Move from rooma to roomb
2024-03-18 11:42:20 | INFO | tasks.pddl | Step 03 - Action: Move from rooma to roomb
2024-03-18 11:42:20 | INFO | tasks.pddl | Step 03 - Observation: Ball1 is a ball.  Ball1 is carrying right.  Ball2 is a ball.  Ball2 is carrying left.  Ball3 is a ball.  Ball3 is at rooma.  Ball4 is a ball.  Ball4 is at rooma.  Left is a gripper.  Right is a gripper.  Robby is at roomb.  Room rooma Room roomb
2024-03-18 11:42:20 | INFO | tasks.pddl | Step 03 - Progress Rate: 0

2024-03-18 11:42:20 | INFO | tasks.pddl | Reflection tip: None
2024-03-18 11:42:36 | INFO | tasks.pddl | Step 04 - Action: Drop ball1 at roomb with arm right.
2024-03-18 11:42:36 | INFO | tasks.pddl | Step 04 - Action: Drop ball1 at roomb with arm right.
2024-03-18 11:42:36 | INFO | tasks.pddl | Step 04 - Observation: Ball1 is a ball.  Ball1 is at roomb.  Ball2 is a ball.  Ball2 is carrying left.  Ball3 is a ball.  Ball3 is at rooma.  Ball4 is a ball.  Ball4 is at rooma.  Left is a gripper.  Right is a gripper.  Right is free.  Robby is at roomb.  Room rooma Room roomb
2024-03-18 11:42:36 | INFO | tasks.pddl | Step 04 - Progress Rate: 0.25

2024-03-18 11:42:36 | INFO | tasks.pddl | Reflection tip: None
2024-03-18 11:42:52 | INFO | tasks.pddl | Step 05 - Action: Pick up ball3 at rooma with arm right.
2024-03-18 11:42:52 | INFO | tasks.pddl | Step 05 - Action: Pick up ball3 at rooma with arm right.
2024-03-18 11:42:52 | INFO | tasks.pddl | Step 05 - Observation: The action is not valid and therefore takes no effect. Please remember to satisfy the restriction of actions. You can also check valid actions.
